run,run,model,policy_class,d,seed,alpha,memory_dim,features_hidden,train_steps,n_envs,lr,gamma,gae_lambda,ent_coef,clip_range,rollout_n_steps,batch_size,vf_coef,max_grad_norm,layout_name,fixed_order,fixed_switch,switch_low,switch_high,episode_len,shaping,shaping_gate,both_success_bonus,wrong_goal_penalty,step_penalty,blocked_penalty,blocked_streak,miss0_penalty,success_ab,success_ba,phase0_rate,phase1_rate,avg_return,avg_phase0_time,avg_phase1_time,wrong_hits_per_ep
20260316-131936_modelL_d32_layouteasy_orderBA_switch30_seed0_nenv4,20260316-131936_modelL_d32_layouteasy_orderBA_switch30_seed0_nenv4,L,LabelLstmPolicy,32,0,0.1,8,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.749999999999991,12.0,40.0,0.0
20260316-134506_modelL_d32_layouteasy_orderBA_switch30_seed1_nenv4,20260316-134506_modelL_d32_layouteasy_orderBA_switch30_seed1_nenv4,L,LabelLstmPolicy,32,1,0.1,8,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.589999999999991,12.0,35.0,0.0
20260316-141029_modelL_d32_layouteasy_orderBA_switch30_seed2_nenv4,20260316-141029_modelL_d32_layouteasy_orderBA_switch30_seed2_nenv4,L,LabelLstmPolicy,32,2,0.1,8,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.809999999999989,12.0,40.0,0.0
20260316-143632_modelL_d32_layouteasy_orderBA_switch30_seed3_nenv4,20260316-143632_modelL_d32_layouteasy_orderBA_switch30_seed3_nenv4,L,LabelLstmPolicy,32,3,0.1,8,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.889999999999991,12.0,43.0,0.0
20260316-150240_modelL_d32_layouteasy_orderBA_switch30_seed4_nenv4,20260316-150240_modelL_d32_layouteasy_orderBA_switch30_seed4_nenv4,L,LabelLstmPolicy,32,4,0.1,8,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.749999999999996,12.0,40.0,0.0
20260316-152841_modelL_d32_layouteasy_orderBA_switch30_seed5_nenv4,20260316-152841_modelL_d32_layouteasy_orderBA_switch30_seed5_nenv4,L,LabelLstmPolicy,32,5,0.1,8,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.769999999999993,12.0,42.0,0.0
20260316-155442_modelL_d32_layouteasy_orderBA_switch30_seed6_nenv4,20260316-155442_modelL_d32_layouteasy_orderBA_switch30_seed6_nenv4,L,LabelLstmPolicy,32,6,0.1,8,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.609999999999996,12.0,33.0,0.0
20260316-162040_modelL_d32_layouteasy_orderBA_switch30_seed7_nenv4,20260316-162040_modelL_d32_layouteasy_orderBA_switch30_seed7_nenv4,L,LabelLstmPolicy,32,7,0.1,8,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.5299999999999905,12.0,41.0,0.0
20260316-164650_modelL_d32_layouteasy_orderBA_switch30_seed8_nenv4,20260316-164650_modelL_d32_layouteasy_orderBA_switch30_seed8_nenv4,L,LabelLstmPolicy,32,8,0.1,8,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.769999999999995,12.0,40.0,0.0
20260316-171250_modelL_d32_layouteasy_orderBA_switch30_seed9_nenv4,20260316-171250_modelL_d32_layouteasy_orderBA_switch30_seed9_nenv4,L,LabelLstmPolicy,32,9,0.1,8,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.9499999999999895,12.0,44.0,0.0
